everyday|1|مجھے پانی چاہیے۔|I want water.|I would like some water, please.
everyday|1|میرا نام علی ہے۔|My name is Ali.|I go by the name of Ali.
everyday|1|آپ کیسے ہیں؟|How are you?|How have you been keeping?
everyday|1|میں ٹھیک ہوں، شکریہ۔|I am fine, thank you.|I am quite well, thank you for asking.
everyday|1|یہ میری کتاب ہے۔|This is my book.|This book belongs to me.
everyday|1|وہ سکول جا رہا ہے۔|He is going to school.|He is on his way to school.
everyday|1|مجھے بھوک لگی ہے۔|I am hungry.|I could do with something to eat.
everyday|1|آج موسم اچھا ہے۔|The weather is good today.|We are having pleasant weather today.
everyday|1|براہ کرم دروازہ بند کریں۔|Please close the door.|Would you mind closing the door?
everyday|1|میں سمجھ نہیں سکا۔|I did not understand.|I am afraid that did not quite register with me.
everyday|1|کیا آپ میری مدد کریں گے؟|Will you help me?|Would you be kind enough to help me?
everyday|1|یہ کتنے کا ہے؟|How much is this?|What does this cost?
everyday|1|مجھے دیر ہو گئی ہے۔|I am late.|I am running behind schedule.
everyday|1|میں کل آؤں گا۔|I will come tomorrow.|I shall drop by tomorrow.
everyday|1|وہ بہت اچھا لڑکا ہے۔|He is a very good boy.|He is a thoroughly decent young man.
everyday|1|میرے پاس وقت نہیں ہے۔|I do not have time.|I am rather pressed for time.
everyday|1|یہ کام مشکل ہے۔|This work is hard.|This task is quite demanding.
everyday|1|مجھے یہ پسند ہے۔|I like this.|This appeals to me a great deal.
everyday|1|وہ گھر پر نہیں ہے۔|He is not at home.|He is out at the moment.
everyday|1|میں انگریزی سیکھ رہا ہوں۔|I am learning English.|I am currently studying English.
everyday|1|براہ کرم آہستہ بولیں۔|Please speak slowly.|Could you speak a little more slowly, please?
everyday|1|میں تھک گیا ہوں۔|I am tired.|I am feeling rather worn out.
everyday|1|کھانا تیار ہے۔|The food is ready.|The meal has been served.
everyday|1|مجھے معاف کر دیں۔|Forgive me.|I do apologise for that.
everyday|1|یہ بہت مہنگا ہے۔|This is very expensive.|This is rather beyond my budget.
everyday|1|میں یہاں نیا ہوں۔|I am new here.|I am new to this place.
everyday|1|وہ کتاب پڑھ رہی ہے۔|She is reading a book.|She is engrossed in a book.
everyday|1|میرا بھائی ڈاکٹر ہے۔|My brother is a doctor.|My brother practises medicine.
everyday|1|بارش ہو رہی ہے۔|It is raining.|We are having a spell of rain.
everyday|1|مجھے نیند آ رہی ہے۔|I am feeling sleepy.|I can barely keep my eyes open.
everyday|1|یہ راستہ بند ہے۔|This road is closed.|This route is currently blocked.
everyday|1|میں پانی پینا چاہتا ہوں۔|I want to drink water.|I would appreciate a glass of water.
everyday|1|آپ کہاں رہتے ہیں؟|Where do you live?|Whereabouts are you based?
everyday|1|میں لاہور سے ہوں۔|I am from Lahore.|I hail from Lahore.
everyday|1|وہ بہت تیز چلتا ہے۔|He walks very fast.|He walks at a brisk pace.
everyday|1|میرے پاس پیسے نہیں ہیں۔|I have no money.|I am a little short of cash.
everyday|1|یہ میرا پہلا دن ہے۔|This is my first day.|This marks my first day here.
everyday|1|براہ کرم انتظار کریں۔|Please wait.|Kindly bear with me for a moment.
everyday|1|میں نے کھانا کھا لیا۔|I have eaten.|I have already had my meal.
everyday|1|وہ اچھی طرح گاتی ہے۔|She sings well.|She has a lovely singing voice.
everyday|1|مجھے سردی لگ رہی ہے۔|I am feeling cold.|I am feeling rather chilly.
everyday|1|کیا آپ مجھے سن سکتے ہیں؟|Can you hear me?|Am I coming through clearly?
everyday|1|یہ آسان سوال ہے۔|This is an easy question.|This is a fairly straightforward question.
everyday|1|میں روز ورزش کرتا ہوں۔|I exercise every day.|I work out on a daily basis.
everyday|1|وہ میرا دوست ہے۔|He is my friend.|He is a close friend of mine.
everyday|1|دکان بند ہو گئی ہے۔|The shop has closed.|The shop has shut for the day.
everyday|1|مجھے جانا ہے۔|I have to go.|I really must be off.
everyday|1|آپ کا شکریہ۔|Thank you.|I am most grateful to you.
everyday|1|کوئی بات نہیں۔|It is nothing.|Please do not mention it.
everyday|1|میں کوشش کروں گا۔|I will try.|I shall do my best.
everyday|1|وہ ابھی سو رہا ہے۔|He is sleeping now.|He is asleep at present.
everyday|1|یہ میرا گھر ہے۔|This is my house.|This is where I live.
